EDGE0,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.4551,1.372,1.1686,1.4501,1.1645,1.1685,1.4551,1.3719
1.4645,1.4009,1.1776,1.459,1.1731,1.1775,1.4645,1.4009
1.4765,1.4367,1.1889,1.4701,1.1836,1.1887,1.4765,1.4366
1.4768,1.4373,1.1891,1.4703,1.1838,1.189,1.4768,1.4373
1.4718,1.4228,1.1845,1.4658,1.1796,1.1843,1.4718,1.4227
1.479,1.4437,1.1911,1.4722,1.1856,1.191,1.479,1.4436
1.482,1.4523,1.1938,1.4749,1.1879,1.1937,1.482,1.4522
1.4872,1.4664,1.1984,1.4791,1.1915,1.1982,1.4872,1.4663
1.4888,1.4705,1.1997,1.4803,1.1924,1.1996,1.4888,1.4705
1.4878,1.4678,1.1988,1.4795,1.1919,1.1987,1.4878,1.4677
1.49,1.4736,1.2007,1.4811,1.193,1.2006,1.49,1.4735
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.1201,0.28446,0.83565,1.1183,0.83422,0.83575,1.1201,0.28379
1.17,0.44812,0.88555,1.168,0.88398,0.88559,1.17,0.44761
1.332,0.97736,1.0472,1.3291,1.0448,1.0471,1.332,0.97697
1.3483,1.0302,1.0634,1.3453,1.061,1.0633,1.3483,1.0299
1.3049,0.88929,1.0203,1.3023,1.0181,1.0202,1.3049,0.8889
1.3453,1.0205,1.0604,1.3423,1.058,1.0603,1.3453,1.0201
1.3828,1.142,1.0977,1.3795,1.0949,1.0976,1.3828,1.1418
1.4247,1.2764,1.139,1.4206,1.1357,1.1389,1.4247,1.2763
1.4353,1.31,1.1494,1.431,1.1458,1.1493,1.4353,1.3098
1.4236,1.2727,1.1379,1.4195,1.1346,1.1378,1.4236,1.2726
1.4307,1.2955,1.1449,1.4265,1.1415,1.1448,1.4307,1.2953
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.3298,0.97025,1.045,1.327,1.0427,1.045,1.3298,0.97008
1.3817,1.1385,1.0966,1.3784,1.0938,1.0965,1.3817,1.1383
1.428,1.2867,1.1422,1.4238,1.1388,1.1421,1.428,1.2866
1.4311,1.2965,1.1452,1.4268,1.1418,1.1451,1.431,1.2964
1.4156,1.2472,1.13,1.4117,1.1269,1.1299,1.4156,1.2471
1.4346,1.3076,1.1487,1.4303,1.1451,1.1486,1.4345,1.3075
1.4454,1.3417,1.1592,1.4407,1.1554,1.1591,1.4454,1.3416
1.461,1.3902,1.1743,1.4557,1.1699,1.1742,1.461,1.3902
1.4652,1.403,1.1783,1.4597,1.1737,1.1782,1.4652,1.403
1.4609,1.39,1.1742,1.4556,1.1699,1.1741,1.4609,1.3899
1.4647,1.4015,1.1778,1.4592,1.1733,1.1777,1.4647,1.4015
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.3937,1.1769,1.1084,1.3902,1.1055,1.1084,1.3937,1.1769
1.4185,1.2565,1.1329,1.4146,1.1297,1.1328,1.4185,1.2565
1.446,1.3436,1.1598,1.4413,1.156,1.1597,1.446,1.3436
1.4466,1.3457,1.1604,1.442,1.1566,1.1604,1.4466,1.3457
1.4349,1.3088,1.149,1.4306,1.1455,1.1489,1.4349,1.3087
1.4524,1.3638,1.1661,1.4475,1.1621,1.166,1.4524,1.3637
1.4584,1.3823,1.1718,1.4532,1.1676,1.1717,1.4584,1.3822
1.4685,1.4128,1.1814,1.4627,1.1766,1.1812,1.4685,1.4128
1.4709,1.4201,1.1837,1.4649,1.1788,1.1835,1.4709,1.4201
1.468,1.4114,1.1809,1.4623,1.1762,1.1808,1.468,1.4114
1.4713,1.4212,1.184,1.4653,1.1791,1.1839,1.4713,1.4212
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.4234,1.2722,1.1377,1.4194,1.1344,1.1376,1.4234,1.2721
1.4412,1.3285,1.1551,1.4367,1.1514,1.1551,1.4412,1.3285
1.4608,1.3894,1.174,1.4555,1.1697,1.174,1.4608,1.3894
1.4614,1.3914,1.1746,1.4561,1.1703,1.1746,1.4614,1.3914
1.4562,1.3754,1.1697,1.4511,1.1655,1.1695,1.4562,1.3753
1.4681,1.4117,1.181,1.4623,1.1763,1.1809,1.4681,1.4117
1.4705,1.419,1.1833,1.4646,1.1784,1.1831,1.4705,1.4189
1.4774,1.4391,1.1897,1.4708,1.1843,1.1895,1.4774,1.439
1.4793,1.4445,1.1914,1.4725,1.1858,1.1912,1.4793,1.4445
1.4775,1.4396,1.1898,1.471,1.1844,1.1897,1.4775,1.4396
1.4803,1.4474,1.1923,1.4734,1.1866,1.1921,1.4803,1.4474
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.4371,1.3156,1.1511,1.4327,1.1475,1.151,1.4371,1.3155
1.4481,1.3504,1.1619,1.4434,1.158,1.1618,1.4481,1.3503
1.4629,1.3959,1.1761,1.4575,1.1716,1.176,1.4629,1.3959
1.461,1.3902,1.1743,1.4557,1.1699,1.1742,1.461,1.3902
