EDGE0,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.96425,1.3653,0.85489,-1.4392,-1.1289,0.59526,1.4787,1.3722
0.64479,1.3855,0.72078,-2.4142,-1.5705,0.28446,1.5065,1.4017
-0.25941,1.3832,0.44954,-4.074,-1.977,-0.48712,1.5762,1.4399
-0.28725,1.3824,0.44298,-4.1097,-1.9793,-0.50922,1.5783,1.4407
0.1991,1.3909,0.57098,-3.3732,-1.8677,-0.1113,1.5412,1.4246
-0.57262,1.3727,0.38186,-4.4381,-1.9824,-0.72975,1.6005,1.4481
-1.0679,1.3493,0.29667,-4.871,-1.9169,-1.0934,1.6393,1.459
-2.2589,1.2652,0.17765,-5.4208,-1.54,-1.8924,1.7388,1.4808
-2.7395,1.221,0.15981,-5.4954,-1.3363,-2.189,1.7814,1.489
-2.4087,1.2521,0.17071,-5.4506,-1.4781,-1.986,1.7522,1.4834
-3.137,1.1799,0.15761,-5.5046,-1.1534,-2.4244,1.8182,1.4958
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.12,0.28446,0.83542,1.1119,0.82297,0.83541,1.1201,0.28379
1.1696,0.44812,0.88502,1.1558,0.86341,0.88485,1.17,0.44761
1.3236,0.97735,1.0377,1.1782,0.84067,1.0333,1.3323,0.97697
1.3359,1.0302,1.0498,1.1388,0.79137,1.0433,1.3487,1.0299
1.3004,0.88929,1.0149,1.2107,0.88723,1.0125,1.3051,0.8889
1.3337,1.0205,1.0477,1.1477,0.80214,1.0417,1.3457,1.0201
1.3513,1.1419,1.0662,0.95216,0.58731,1.0497,1.384,1.1418
1.2965,1.2756,1.0326,0.22175,-0.059272,0.96541,1.4301,1.2763
1.239,1.3084,0.99772,-0.17588,-0.3565,0.89467,1.4438,1.3099
1.301,1.272,1.0354,0.25806,-0.030426,0.97122,1.4287,1.2726
1.2684,1.2943,1.0153,0.014571,-0.21783,0.9301,1.4377,1.2954
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.3218,0.97024,1.036,1.1821,0.84581,1.0318,1.3301,0.97008
1.3512,1.1384,1.066,0.96147,0.59685,1.0501,1.3829,1.1383
1.2825,1.2857,1.0239,0.11496,-0.14201,0.94768,1.4341,1.2867
1.2664,1.2954,1.014,0.0007128,-0.22814,0.92764,1.4381,1.2965
1.3244,1.2468,1.0504,0.47063,0.14367,1.0027,1.4193,1.2472
1.2445,1.3061,1.0009,-0.1425,-0.33254,0.9011,1.4428,1.3076
1.1392,1.3386,0.94187,-0.71332,-0.71435,0.78066,1.4593,1.3418
0.788,1.3791,0.77759,-2.0178,-1.407,0.42032,1.4946,1.3908
0.61141,1.3866,0.70834,-2.4988,-1.6024,0.25361,1.5092,1.4039
0.79104,1.3789,0.77882,-2.0085,-1.4027,0.42319,1.4944,1.3905
0.63514,1.3858,0.7172,-2.4385,-1.5794,0.27554,1.5074,1.4024
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.35,1.1768,1.0663,0.84222,0.47828,1.0435,1.3954,1.1769
1.3172,1.256,1.0457,0.39969,0.084448,0.99271,1.4227,1.2565
1.131,1.3404,0.93748,-0.75224,-0.73841,0.77159,1.4604,1.3438
1.1217,1.3423,0.93262,-0.79545,-0.76499,0.76145,1.4616,1.3458
1.2416,1.3073,0.99919,-0.16001,-0.34514,0.89775,1.4433,1.3088
1.0225,1.3584,0.8826,-1.2183,-1.0106,0.65546,1.4728,1.364
0.874,1.3734,0.81418,-1.7503,-1.2842,0.50445,1.4871,1.3827
0.43227,1.3902,0.6448,-2.915,-1.7443,0.091271,1.5233,1.4141
0.26734,1.3911,0.59168,-3.2472,-1.8373,-0.052938,1.536,1.4218
0.46203,1.3898,0.65501,-2.8496,-1.7233,0.11786,1.5211,1.4126
0.24074,1.3911,0.58358,-3.2965,-1.8491,-0.075772,1.5382,1.4229
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.3016,1.2714,1.0358,0.26297,-0.026508,0.97202,1.4285,1.2721
1.1882,1.3262,0.96854,-0.4661,-0.5553,0.83557,1.4525,1.3286
0.79713,1.3785,0.78131,-1.9905,-1.3948,0.42907,1.4938,1.39
0.77381,1.3798,0.77169,-2.0594,-1.425,0.40655,1.4958,1.392
0.93654,1.368,0.84211,-1.5389,-1.1802,0.56706,1.4813,1.3757
0.45531,1.3899,0.65269,-2.865,-1.7287,0.11191,1.5215,1.4129
0.29476,1.3911,0.60018,-3.1954,-1.8244,-0.029212,1.5338,1.4205
-0.36119,1.3802,0.42621,-4.2019,-1.9845,-0.5671,1.5839,1.4427
-0.61834,1.3709,0.37272,-4.4867,-1.9814,-0.76425,1.6037,1.4492
-0.38346,1.3795,0.42129,-4.2282,-1.9849,-0.58447,1.5857,1.4433
-0.77419,1.3639,0.34472,-4.6304,-1.9644,-0.87973,1.616,1.4528
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.2256,1.3138,0.98985,-0.25693,-0.41333,0.87876,1.4464,1.3156
