cea_qloss_total [kW],simulink_qloss_total [kW],diff
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.758,11.090,0.060
11.765,11.094,0.060
11.774,11.104,0.060
11.776,11.104,0.061
11.770,11.098,0.061
11.776,11.106,0.060
11.781,11.111,0.060
11.789,11.117,0.060
11.796,11.121,0.061
11.789,11.117,0.060
11.796,11.122,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.723,11.068,0.059
11.724,11.066,0.059
11.734,11.071,0.060
11.734,11.075,0.060
11.730,11.071,0.060
11.734,11.075,0.060
11.739,11.077,0.060
11.745,11.083,0.060
11.747,11.083,0.060
11.745,11.081,0.060
11.747,11.083,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.734,11.071,0.060
11.739,11.075,0.060
11.747,11.083,0.060
11.747,11.083,0.060
11.745,11.081,0.060
11.747,11.083,0.060
11.754,11.087,0.060
11.758,11.094,0.060
11.765,11.096,0.060
11.758,11.094,0.060
11.765,11.094,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.739,11.079,0.060
11.745,11.081,0.060
11.754,11.087,0.060
11.754,11.087,0.060
11.747,11.083,0.060
11.754,11.089,0.060
11.758,11.094,0.060
11.766,11.098,0.060
11.768,11.098,0.060
11.765,11.098,0.060
11.770,11.098,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.745,11.081,0.060
11.751,11.085,0.060
11.758,11.094,0.060
11.758,11.094,0.060
11.758,11.090,0.060
11.765,11.098,0.060
11.768,11.098,0.060
11.776,11.104,0.061
11.776,11.106,0.060
11.776,11.106,0.060
11.778,11.106,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.747,11.083,0.060
11.754,11.089,0.060
11.760,11.094,0.060
11.758,11.094,0.060
11.754,11.089,0.060
11.765,11.094,0.060
11.765,11.098,0.060
11.770,11.102,0.060
11.774,11.104,0.060
11.772,11.102,0.060
11.776,11.104,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
2.326,2.187,0.064
2.423,2.282,0.062
2.527,2.381,0.061
2.610,2.459,0.061
2.691,2.534,0.062
2.766,2.606,0.061
2.840,2.674,0.062
13.024,12.294,0.059
12.676,11.969,0.059
12.146,11.470,0.059
11.904,11.240,0.059
11.974,11.306,0.059
11.824,11.163,0.059
11.723,11.068,0.059
11.728,11.070,0.059
11.729,11.070,0.060
11.726,11.067,0.060
11.728,11.070,0.059
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
12.284,11.598,0.059
12.007,11.335,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.769,11.113,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.728,11.070,0.059
11.728,11.070,0.059
11.728,11.071,0.059
11.728,11.070,0.059
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
12.154,11.474,0.059
11.859,11.195,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.728,11.070,0.059
11.730,11.070,0.060
11.739,11.075,0.060
11.739,11.079,0.060
11.734,11.075,0.060
11.737,11.075,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.723,11.068,0.059
11.724,11.068,0.059
11.728,11.070,0.059
11.730,11.070,0.060
11.728,11.070,0.059
11.734,11.071,0.060
11.734,11.075,0.060
11.743,11.081,0.060
11.745,11.081,0.060
11.743,11.079,0.060
11.745,11.081,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.723,11.068,0.059
11.724,11.068,0.059
11.728,11.070,0.059
11.730,11.070,0.060
11.728,11.070,0.059
11.732,11.070,0.060
11.734,11.075,0.060
11.741,11.079,0.060
11.743,11.081,0.060
11.739,11.079,0.060
11.743,11.079,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
3.855,3.636,0.060
3.851,3.636,0.059
3.872,3.652,0.060
3.892,3.673,0.060
3.914,3.689,0.061
3.938,3.716,0.060
3.962,3.739,0.060
13.730,12.965,0.059
13.368,12.620,0.059
12.868,12.149,0.059
12.676,11.969,0.059
12.781,12.067,0.059
12.623,11.921,0.059
12.326,11.636,0.059
11.843,11.184,0.059
11.723,11.068,0.059
11.924,11.258,0.059
11.871,11.208,0.059
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
5.359,3.378,0.586
12.429,11.735,0.059
12.059,11.386,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.723,11.068,0.059
11.724,11.067,0.059
11.728,11.070,0.059
11.736,11.075,0.060
11.739,11.077,0.060
11.734,11.075,0.060
11.734,11.075,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.724,11.067,0.059
11.728,11.070,0.059
11.734,11.075,0.060
11.736,11.075,0.060
11.734,11.071,0.060
11.736,11.075,0.060
11.743,11.079,0.060
11.749,11.085,0.060
11.754,11.089,0.060
11.749,11.085,0.060
11.754,11.087,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.734,11.075,0.060
11.739,11.079,0.060
11.749,11.085,0.060
11.751,11.087,0.060
11.747,11.083,0.060
11.754,11.089,0.060
11.758,11.094,0.060
11.766,11.098,0.060
11.770,11.098,0.061
11.766,11.098,0.060
11.770,11.098,0.061
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
11.747,11.083,0.060
11.754,11.089,0.060
11.764,11.094,0.060
11.764,11.094,0.060
11.758,11.090,0.060
11.765,11.098,0.060
11.770,11.098,0.061
11.776,11.106,0.060
11.779,11.109,0.060
11.778,11.106,0.061
11.781,11.111,0.060
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
